Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,Value,Year
ELV_collected,BEV,,,,7067015753.053513,2040
ELV_collected,BEV,elvBIW,,,1888353934.267578,2040
ELV_collected,BEV,elvBIW,calAHSS,,297213949.6820068,2040
ELV_collected,BEV,elvBIW,calAl_5xxx,,204119514.7323608,2040
ELV_collected,BEV,elvBIW,calAl_6xxx,,306037313.15399164,2040
ELV_collected,BEV,elvBIW,calHSS,,297156441.94030756,2040
ELV_collected,BEV,elvBIW,calMagnesium,,57765363.1463623,2040
ELV_collected,BEV,elvBIW,calUHSS,,164963251.6340637,2040
ELV_collected,BEV,elvBIW,calmildSteel,,561098100.534668,2040
ELV_collected,BEV,elvBattery,,,1286088009.7021484,2040
ELV_collected,BEV,elvBattery,battery,,1286088009.7021484,2040
ELV_collected,BEV,elvBrakes,,,181563617.43774414,2040
ELV_collected,BEV,elvBrakes,calMagnesium,,5555241.195058823,2040
ELV_collected,BEV,elvBrakes,calcastAluminiumAlSiCu,,49068590.41130066,2040
ELV_collected,BEV,elvBrakes,calcastIron,,88852714.98321533,2040
ELV_collected,BEV,elvBrakes,calmildSteel,,25385255.841522217,2040
ELV_collected,BEV,elvBrakes,calstainlessSteel,,12701815.029964445,2040
ELV_collected,BEV,elvChassis,,,944001741.4318846,2040
ELV_collected,BEV,elvChassis,calAHSS,,198057682.26058957,2040
ELV_collected,BEV,elvChassis,calAl_6xxx,,102025996.17599487,2040
ELV_collected,BEV,elvChassis,calAl_7xxx,,25511346.20685577,2040
ELV_collected,BEV,elvChassis,calHSS,,329892769.475708,2040
ELV_collected,BEV,elvChassis,calMagnesium,,28904295.899581905,2040
ELV_collected,BEV,elvChassis,calUHSS,,132034544.96017456,2040
ELV_collected,BEV,elvChassis,calcastAluminiumAlSiCu,,51021436.65828705,2040
ELV_collected,BEV,elvChassis,calcastAluminiumAlSiMg,,76553669.88113402,2040
ELV_collected,BEV,elvClosures,,,522991823.7298584,2040
ELV_collected,BEV,elvClosures,calAHSS,,73156284.7062683,2040
ELV_collected,BEV,elvClosures,calAHSS_DualPhase,,73106395.6387329,2040
